epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,694.843,1.79557,2.65766,1.61709,0.35913,0.1073,0.10217,0.06587,1.78464,2.27852,1.57021,3.92447e-05,3.92447e-05,3.92447e-05
2,1514.84,1.69012,2.33975,1.54836,0.39952,0.08149,0.08252,0.05396,1.69131,2.03031,1.49776,7.63073e-05,7.63073e-05,7.63073e-05
3,2550.02,1.61922,2.19646,1.50441,0.44797,0.11472,0.1162,0.07561,1.65797,1.92852,1.47702,0.000110752,0.000110752,0.000110752
4,3489.9,1.60852,2.09509,1.47648,0.45172,0.11715,0.12112,0.08079,1.61402,1.83041,1.4443,0.000107219,0.000107219,0.000107219
